Beat,NEIGHBORHO,Neighborhood,URL,pop,white,black,asian,income,Crime_Rate,events_count,predicted,landmarks
306,Sylvan Hills,Sylvan Hills,http://documents.atlantaregional.com/AtlantaProfiles/X04.pdf,4632,10,85.4,0.5,26506,19,0,12.74034214,"""Atlanta Technical College, Atlanta Metropolitan State College"""
307,Lakewood Heights,Lakewood Heights,http://documents.atlantaregional.com/AtlantaProfiles/Y04.pdf,2157,10.5,85.3,0.3,22584,20,0,11.13824043,"""Swann Preserve"""
308,Thomasville Heights,Thomasville Heights,http://documents.atlantaregional.com/AtlantaProfiles/Z02.pdf,2851,0.5,97.8,0.2,12510,5,0,11.56109499,"""N/A"""
309,Perkerson,Perkerson,http://documents.atlantaregional.com/AtlantaProfiles/X02.pdf,2416,8.7,76.9,0.7,19763,8,0,11.46080224,"""N/A"""
310,"Browns Mill Park, Polar Rock, Swallow Circle/Baywood",Browns Mill Park,http://documents.atlantaregional.com/AtlantaProfiles/Z04.pdf,3837,3.9,89.8,0.1,34712,6,0,10.06003914,"""N/A"""
311,Hammond Park,Hammond Park,http://documents.atlantaregional.com/AtlantaProfiles/X03.pdf,2702,5.5,82.8,1.5,18247,9,0,11.42495024,"""N/A"""
312,"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights",Glenrose Heights,http://documents.atlantaregional.com/AtlantaProfiles/Z03.pdf,5972,1,94.3,0.4,23997,8,0,12.88329822,"""N/A"""
313,South River Gardens,South River Gardens,http://documents.atlantaregional.com/AtlantaProfiles/Z05.pdf,2255,1.6,94.2,0.1,28569,8,0,9.302907267,"""Lake Charlotte Nature Preserve"""
401,West End,West End,http://documents.atlantaregional.com/AtlantaProfiles/T04.pdf,4341,3.9,90.4,0.9,21727,22,1,14.7549351,"""The Wren's Nest House Museum"""
402,"Bush Mountain, Oakland City",Oakland City,http://documents.atlantaregional.com/AtlantaProfiles/S01.pdf,3672,1.7,95.8,0.2,22857,9,0,11.07848398,"""N/A"""
403,"Bush Mountain, Oakland City",Oakland City,http://documents.atlantaregional.com/AtlantaProfiles/S01.pdf,3672,1.7,95.8,0.2,22857,9,0,11.07848398,"""Gilliam's Community Garden, The Rev james orange Park at Oakland City"""
404,Westview,Westview,http://documents.atlantaregional.com/AtlantaProfiles/T03.pdf,3138,3.4,93.3,0.2,27815,17,0,10.27299334,"""John A. White Golf Course"""
405,"Audobon Forest, Audobon Forest West, Chalet Woods, Harland Terrace, Peyton Forest, Westhaven",Harland Terrace,http://documents.atlantaregional.com/AtlantaProfiles/I03.pdf,4945,1.1,94.7,0,29397,9,0,11.21155795,"""N/A"""
406,Cascade Avenue/Road,Cascade Avenue/Road,http://documents.atlantaregional.com/AtlantaProfiles/S03.pdf,2307,1.4,95.6,0.1,29318,4,0,9.233918444,"""Westview Cemetery, Lionel Hampton Park"""
407,"Fairburn Mays, Mays",Fairburn Mays,http://documents.atlantaregional.com/AtlantaProfiles/H03.pdf,4095,0.7,95.9,0.1,26857,8,0,10.77374716,"""N/A"""
408,"Fort McPherson, Venetian Hills",Venetian Hills,http://documents.atlantaregional.com/AtlantaProfiles/S02.pdf,4084,7.1,89.5,0.4,27096,5,0,11.68374374,"""Tyler Perry Studios"""
409,"Adams Park, Laurens Valley, Southwest",Southwest,http://documents.atlantaregional.com/AtlantaProfiles/R02.pdf,6141,1,95.8,0.3,41234,10,0,10.67642673,"""Cascade Springs Nature Reserve, Alfred Tup Holmes Golf Course"""
410,"Campbellton Road, Fort Valley, Pomona Park",Campbellton Road,http://documents.atlantaregional.com/AtlantaProfiles/R01.pdf,6721,1.9,95.7,0,17414,12,0,14.89396947,"""N/A"""
411,Greenbriar,Greenbriar,http://documents.atlantaregional.com/AtlantaProfiles/R03.pdf,3628,0.6,97.4,0.1,23958,24,0,10.74363405,"""Greenbria Mall"""
412,"Ben Hill Terrace, Kings Forest, Old Fairburn Village",Kings Forest,http://documents.atlantaregional.com/AtlantaProfiles/P04.pdf,2719,1,95.2,0.5,34043,5,0,8.968000975,"""N/A"""
413,"Arlington Estates, Ben Hill, Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest",Arlington Estates,http://documents.atlantaregional.com/AtlantaProfiles/P01.pdf,3826,1.2,94.6,0.5,53641,2,0,7.780927844,"""N/A"""
413,"Arlington Estates, Ben Hill, Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest",Arlington Estates,http://documents.atlantaregional.com/AtlantaProfiles/P01.pdf,3826,1.2,94.6,0.5,53641,2,0,7.780927844,"""N/A"""
414,Princeton Lakes,Princeton Lakes,http://documents.atlantaregional.com/AtlantaProfiles/P02.pdf,3670,3,90,1.4,59199,13,0,7.381939484,"""N/A"""
501,Home Park,Home Park,http://documents.atlantaregional.com/AtlantaProfiles/E06.pdf,4706,45.5,17.1,28.9,42133,27,0,17.08606168,"""Atlantic Station"""
502,Midtown,Midtown,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,16218,68.2,15.9,7.5,64324,52,0,42.46065838,"""Piedmont Park, Woodruff Art Center"""
503,Midtown,Midtown,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,16218,68.2,15.9,7.5,64324,52,0,42.46065838,"""Federal Reserve Bank of America"""
