,beat,Crime_Rate,Neighborhood,NEIGHBORHO,events,POP,URL,pop,white,black,asian,income,offense_id,date,events_count,true_crime
12,607,87,Custer/McDonough/Guice,"Benteen Park, Boulevard Heights, Custer/McDonough/Guice, State Facility, Woodland Hills",0,3305,http://documents.atlantaregional.com/AtlantaProfiles/W02.pdf,3305,31.9,46.4,0.9,44530.0,6.0,,,6.0
13,103,181,Blandtown,"Berkeley Park, Blandtown, Hills Park",7,3089,http://documents.atlantaregional.com/AtlantaProfiles/D03.pdf,3089,58.7,23.9,7.3,64278.0,22.0,,,22.0
14,312,143,Glenrose Heights,"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights",4,5972,http://documents.atlantaregional.com/AtlantaProfiles/Z03.pdf,5972,1.0,94.3,0.4,23997.0,8.0,,,8.0
15,310,105,Browns Mill Park,"Browns Mill Park, Polar Rock, Swallow Circle/Baywood",0,3837,http://documents.atlantaregional.com/AtlantaProfiles/Z04.pdf,3837,3.9,89.8,0.1,34712.0,6.0,,,6.0
16,206,212,Buckhead Village,"Buckhead Village, Peachtree Park",10,2920,http://documents.atlantaregional.com/AtlantaProfiles/B07.pdf,2920,77.4,11.1,3.1,57426.0,20.0,,,20.0
17,402,135,Oakland City,"Bush Mountain, Oakland City",0,3672,http://documents.atlantaregional.com/AtlantaProfiles/S01.pdf,3672,1.7,95.8,0.2,22857.0,9.0,,,9.0
18,606,154,Reynoldstown,"Cabbagetown, Reynoldstown",0,3750,http://documents.atlantaregional.com/AtlantaProfiles/N01.pdf,3750,59.1,31.0,2.3,48287.0,13.0,,,13.0
19,410,201,Campbellton Road,"Campbellton Road, Fort Valley, Pomona Park",1,6721,http://documents.atlantaregional.com/AtlantaProfiles/R01.pdf,6721,1.9,95.7,0.0,17414.0,12.0,,,12.0
20,608,144,Candler Park,"Candler Park, Druid Hills",18,4742,http://documents.atlantaregional.com/AtlantaProfiles/N03.pdf,4742,83.1,6.9,3.3,85889.0,7.0,,,7.0
21,406,26,Cascade Avenue/Road,Cascade Avenue/Road,0,2307,http://documents.atlantaregional.com/AtlantaProfiles/S03.pdf,2307,1.4,95.6,0.1,29318.0,4.0,,,4.0
22,509,473,Downtown,"Castleberry Hill, Downtown",5,14560,http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,14560,32.2,53.4,6.8,34956.0,31.0,,,31.0
23,109,131,Center Hill,"Center Hill, Harvel Homes Community",0,2730,http://documents.atlantaregional.com/AtlantaProfiles/J01.pdf,2730,1.4,95.8,0.2,27026.0,10.0,,,10.0
24,205,118,Wildwood (NPU-C),"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",1,3757,http://documents.atlantaregional.com/AtlantaProfiles/C06.pdf,3757,86.7,5.3,4.0,125221.0,8.0,,,8.0
25,112,160,Collier Heights,Collier Heights,0,5681,http://documents.atlantaregional.com/AtlantaProfiles/I04.pdf,5681,0.7,96.5,0.1,29048.0,12.0,,,12.0
26,108,95,Dixie Hills,"Dixie Hills, Penelope Neighbors, West Lake",0,3625,http://documents.atlantaregional.com/AtlantaProfiles/J03.pdf,3625,1.1,96.6,0.0,23719.0,7.0,,,7.0
27,612,224,East Atlanta,East Atlanta,4,5101,http://documents.atlantaregional.com/AtlantaProfiles/W04.pdf,5101,42.1,52.2,1.1,38960.0,9.0,,,9.0
28,611,116,East Lake,"East Lake, The Villages at East Lake",17,4046,http://documents.atlantaregional.com/AtlantaProfiles/O01.pdf,4046,27.2,67.7,0.9,41838.0,12.0,,,12.0
29,609,385,Edgewood,Edgewood,0,4072,http://documents.atlantaregional.com/AtlantaProfiles/O03.pdf,4072,31.9,61.1,1.7,37367.0,11.0,,,11.0
30,506,184,English Avenue,English Avenue,0,3330,http://documents.atlantaregional.com/AtlantaProfiles/L02.pdf,3330,8.7,83.5,1.6,15914.0,31.0,,,31.0
31,407,90,Fairburn Mays,"Fairburn Mays, Mays",3,4095,http://documents.atlantaregional.com/AtlantaProfiles/H03.pdf,4095,0.7,95.9,0.1,26857.0,8.0,,,8.0
32,408,112,Venetian Hills,"Fort McPherson, Venetian Hills",0,4084,http://documents.atlantaregional.com/AtlantaProfiles/S02.pdf,4084,7.1,89.5,0.4,27096.0,5.0,,,5.0
33,605,338,Grant Park,"Grant Park, Oakland",2,6827,http://documents.atlantaregional.com/AtlantaProfiles/W01.pdf,6827,62.4,27.9,2.2,74581.0,23.0,1.0,1.0,23.0
34,411,330,Greenbriar,Greenbriar,1,3628,http://documents.atlantaregional.com/AtlantaProfiles/R03.pdf,3628,0.6,97.4,0.1,23958.0,24.0,,,24.0
35,107,180,Grove Park,Grove Park,0,5534,http://documents.atlantaregional.com/AtlantaProfiles/J02.pdf,5534,1.9,95.4,0.1,23902.0,14.0,,,14.0
36,311,152,Hammond Park,Hammond Park,0,2702,http://documents.atlantaregional.com/AtlantaProfiles/X03.pdf,2702,5.5,82.8,1.5,18247.0,9.0,,,9.0
37,501,399,Home Park,Home Park,7,4706,http://documents.atlantaregional.com/AtlantaProfiles/E06.pdf,4706,45.5,17.1,28.9,42133.0,27.0,1.0,1.0,27.0
38,105,109,Hunter Hills,"Hunter Hills, Mozley Park",1,3836,http://documents.atlantaregional.com/AtlantaProfiles/K01.pdf,3836,1.5,96.2,0.2,24607.0,7.0,,,7.0
39,602,417,Inman Park,"Inman Park, Poncey-Highland",7,6196,http://documents.atlantaregional.com/AtlantaProfiles/N02.pdf,6196,80.2,9.9,2.9,73546.0,26.0,,,26.0
40,202,42,West Paces Ferry/Northside,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",2,4207,http://documents.atlantaregional.com/AtlantaProfiles/A02.pdf,4207,91.0,2.3,3.3,193437.0,8.0,,,8.0
41,610,124,Kirkwood,Kirkwood,1,5688,http://documents.atlantaregional.com/AtlantaProfiles/O02.pdf,5688,44.6,49.1,1.5,52773.0,11.0,,,11.0
42,307,232,Lakewood Heights,Lakewood Heights,0,2157,http://documents.atlantaregional.com/AtlantaProfiles/Y04.pdf,2157,10.5,85.3,0.3,22584.0,20.0,,,20.0
43,211,589,Lindbergh/Morosgo,Lindbergh/Morosgo,1,4604,http://documents.atlantaregional.com/AtlantaProfiles/B11.pdf,4604,34.4,24.9,9.5,53503.0,47.0,,,47.0
44,212,204,Lindridge/Martin Manor,Lindridge/Martin Manor,2,3914,http://documents.atlantaregional.com/AtlantaProfiles/F02.pdf,3914,42.2,18.9,5.7,46805.0,16.0,1.0,1.0,16.0
45,303,327,Mechanicsville,Mechanicsville,11,3786,http://documents.atlantaregional.com/AtlantaProfiles/V04.pdf,3786,2.1,94.9,0.3,19121.0,29.0,1.0,1.0,29.0
46,505,572,Midtown,Midtown,1,16218,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,16218,68.2,15.9,7.5,64324.0,52.0,,,52.0
47,213,44,Morningside/Lenox Park,Morningside/Lenox Park,0,8307,http://documents.atlantaregional.com/AtlantaProfiles/F04.pdf,8307,85.2,5.1,2.4,113073.0,,,,
48,208,327,North Buckhead,North Buckhead,4,8332,http://documents.atlantaregional.com/AtlantaProfiles/B04.pdf,8332,78.9,8.5,5.3,107979.0,23.0,,,23.0
49,603,458,Old Fourth Ward,"Old Fourth Ward, Sweet Auburn",10,12326,http://documents.atlantaregional.com/AtlantaProfiles/M02.pdf,12326,32.2,57.2,2.7,38315.0,22.0,,,22.0
50,304,135,Peoplestown,Peoplestown,0,2658,http://documents.atlantaregional.com/AtlantaProfiles/V03.pdf,2658,8.5,84.1,0.8,17897.0,13.0,,,13.0
51,309,228,Perkerson,Perkerson,0,2416,http://documents.atlantaregional.com/AtlantaProfiles/X02.pdf,2416,8.7,76.9,0.7,19763.0,8.0,,,8.0
52,414,197,Princeton Lakes,Princeton Lakes,0,3670,http://documents.atlantaregional.com/AtlantaProfiles/P02.pdf,3670,3.0,90.0,1.4,59199.0,13.0,,,13.0
53,305,101,The Villages at Carver,"South Atlanta, The Villages at Carver",0,2808,http://documents.atlantaregional.com/AtlantaProfiles/Y03.pdf,2808,2.2,95.0,0.1,18266.0,11.0,,,11.0
54,313,118,South River Gardens,South River Gardens,16,2255,http://documents.atlantaregional.com/AtlantaProfiles/Z05.pdf,2255,1.6,94.2,0.1,28569.0,8.0,,,8.0
55,306,329,Sylvan Hills,Sylvan Hills,2,4632,http://documents.atlantaregional.com/AtlantaProfiles/X04.pdf,4632,10.0,85.4,0.5,26506.0,19.0,,,19.0
56,308,139,Thomasville Heights,Thomasville Heights,0,2851,http://documents.atlantaregional.com/AtlantaProfiles/Z02.pdf,2851,0.5,97.8,0.2,12510.0,5.0,,,5.0
57,308,139,Thomasville Heights,Thomasville Heights,0,2851,http://documents.atlantaregional.com/AtlantaProfiles/Z02.pdf,2851,0.5,97.8,0.2,12510.0,5.0,,,5.0
58,204,219,Underwood Hills,Underwood Hills,0,2287,http://documents.atlantaregional.com/AtlantaProfiles/D02.pdf,2287,72.3,13.7,5.5,63260.0,16.0,,,16.0
59,102,436,Vine City,Vine City,6,2818,http://documents.atlantaregional.com/AtlantaProfiles/L01.pdf,2818,2.2,92.7,0.3,24610.0,18.0,,,18.0
60,401,362,West End,West End,4,4341,http://documents.atlantaregional.com/AtlantaProfiles/T04.pdf,4341,3.9,90.4,0.9,21727.0,22.0,,,22.0
61,404,203,Westview,Westview,0,3138,http://documents.atlantaregional.com/AtlantaProfiles/T03.pdf,3138,3.4,93.3,0.2,27815.0,17.0,,,17.0
