,Beat,NEIGHBORHO,Unnamed: 0,X,beat,Crime_Rate,Neighborhood,events,POP,URL,pop,white,black,asian,income,true_crime,events_count,predicted
31,305,"South Atlanta, The Villages at Carver",25,53,305,101,The Villages at Carver,0,2808,http://documents.atlantaregional.com/AtlantaProfiles/Y03.pdf,2808,2.2,95,0.1,18266,11,0,11.02207911
32,306,Sylvan Hills,26,55,306,329,Sylvan Hills,2,4632,http://documents.atlantaregional.com/AtlantaProfiles/X04.pdf,4632,10,85.4,0.5,26506,19,0,12.74034214
33,307,Lakewood Heights,27,42,307,232,Lakewood Heights,0,2157,http://documents.atlantaregional.com/AtlantaProfiles/Y04.pdf,2157,10.5,85.3,0.3,22584,20,0,11.13824043
34,308,Thomasville Heights,28,57,308,139,Thomasville Heights,0,2851,http://documents.atlantaregional.com/AtlantaProfiles/Z02.pdf,2851,0.5,97.8,0.2,12510,5,0,11.56109499
35,309,Perkerson,29,51,309,228,Perkerson,0,2416,http://documents.atlantaregional.com/AtlantaProfiles/X02.pdf,2416,8.7,76.9,0.7,19763,8,0,11.46080224
36,310,"Browns Mill Park, Polar Rock, Swallow Circle/Baywood",30,15,310,105,Browns Mill Park,0,3837,http://documents.atlantaregional.com/AtlantaProfiles/Z04.pdf,3837,3.9,89.8,0.1,34712,6,0,10.06003914
37,311,Hammond Park,31,36,311,152,Hammond Park,0,2702,http://documents.atlantaregional.com/AtlantaProfiles/X03.pdf,2702,5.5,82.8,1.5,18247,9,0,11.42495024
38,312,"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights",32,14,312,143,Glenrose Heights,4,5972,http://documents.atlantaregional.com/AtlantaProfiles/Z03.pdf,5972,1,94.3,0.4,23997,8,0,12.88329822
39,313,South River Gardens,33,54,313,118,South River Gardens,16,2255,http://documents.atlantaregional.com/AtlantaProfiles/Z05.pdf,2255,1.6,94.2,0.1,28569,8,0,9.302907267
40,401,West End,34,60,401,362,West End,4,4341,http://documents.atlantaregional.com/AtlantaProfiles/T04.pdf,4341,3.9,90.4,0.9,21727,22,1,14.7549351
41,402,"Bush Mountain, Oakland City",35,17,402,135,Oakland City,0,3672,http://documents.atlantaregional.com/AtlantaProfiles/S01.pdf,3672,1.7,95.8,0.2,22857,9,0,11.07848398
42,403,"Bush Mountain, Oakland City",35,17,402,135,Oakland City,0,3672,http://documents.atlantaregional.com/AtlantaProfiles/S01.pdf,3672,1.7,95.8,0.2,22857,9,0,11.07848398
