,Unnamed: 0,Beat,Crime_Rate,Neighborhood,NEIGHBORHO,pop,white,events
71,71,605,338,Grant Park,"Grant Park, Oakland",6827,62.4,0.0
72,72,606,154,Reynoldstown,"Cabbagetown, Reynoldstown",3750,59.1,0.0
73,73,607,87,Custer/McDonough/Guice,"Benteen Park, Boulevard Heights, Custer/McDonough/Guice, State Facility, Woodland Hills",3305,31.9,0.0
74,74,608,144,Candler Park,"Candler Park, Druid Hills",4742,83.1,9.0
75,75,609,385,Edgewood,Edgewood,4072,31.9,0.0
76,76,610,124,Kirkwood,Kirkwood,5688,44.6,0.0
77,77,611,116,East Lake,"East Lake, The Villages at East Lake",4046,27.2,0.0
78,78,612,224,East Atlanta,East Atlanta,5101,42.1,0.0
79,79,613,187,Morningside/Lenox Park,Morningside/Lenox Park,8307,85.2,0.0
80,80,614,210,Midtown,Midtown,16218,68.2,0.0
